Full Name,Division,Insurance Network
"Gabrielle Finley, LCSW",Licensed Clinical Social Worker,"Oscar
Clinically Integrated Network Member"
"Lisa C Fishman, MD",Internal Medicine,"Lisa C. Fishman, MD PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Ashley Ford, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Nathan S Fox, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Nathan S Fox, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Rachel Freed, PhD",Psychology,"Top Tier
Clinically Integrated Network Member"
"Alice Furman, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Alan D Garely, MD",Obstetrics & Gynecology / Female Pelvic Medicine and,"Reconstructive Surgery
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Shari Gelber, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Shari Gelber, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"James George, MD",Gastroenterology,
"Integrated Network, Emblem Health (HIP Commerical and Medicare)","Clinical Integrated Network, Empire (Commercial/Medicare) Clinical","Integrated Network, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Stephanie L Gold, MD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Zoe Gottlieb, MD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Neil H Grafstein, MD",Urological Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"David A Greenwald, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Ari M Grinspan, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Mantu Gupta, MD",Urology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Emblem Health (HIP) Clinical Integrated Network, Humana (Medicare), 
Oscar, Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Ali Haidar, MD",Psychiatry,"Oscar
Clinically Integrated Network Member"
"Elizabeth B Harrington, MD",Vascular Surgery / General Surgery,"Vascular Surgery Associates, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Martin E Harrington, MD",Vascular Surgery / General Surgery,"Vascular Surgery Associates, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem (HIP Medicaid) Clinical Integrated 
Network, Emblem Health (HIP Commerical and Medicare) Clinical 
Integrated Network, Empire (Commercial/Medicare) Clinical Integrated 
Network, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Shaynna Herrera, PhD",Psychology,Clinically Integrated Network Member
"Thomas B Hildebrandt, PsyD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Humana (Medicare), 
Oscar, Top Tier
Clinically Integrated Network Member"
"Scarlett Ho, PhD",Psychology,"Oscar
Clinically Integrated Network Member"
"Nicholas Hoerter, MD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jason Holloway, PsyD",Psychology,"Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Steven R Inglis, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Steven R Inglis, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Donna Ingram, MD",Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Oscar, Top Tier, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Steven Itzkowitz, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Billie Katz, PsyD",Psychology,"Oscar
Clinically Integrated Network Member"
"Craig L Katz, MD",Psychiatry,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier, 
UMR Top Tier
Clinically Integrated Network Member"
"Craig L Katz, MD",Psychiatry,"Craig Katz
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier, 
UMR Top Tier
Clinically Integrated Network Member"
"Maia Kayal, MD",Internal Medicine / Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Laurie Keefer, PhD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Empire (Commercial) Clinical Integrated Network, Humana (Medicare), 
Oscar, Top Tier
Clinically Integrated Network Member"
"Nikhil A Kumta, MD",Internal Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Alex J Ky-Miyasaka, MD",Colon & Rectal Surgery / General Surgery,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Jennifer C Lam-Rachlin, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Jennifer C Lam-Rachlin, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Joshua M Lampert, MD",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Yulia Landa, PsyD",Psychology,"Humana (Medicare), Top Tier
Clinically Integrated Network Member"
"Marie-Noelle Langan, MD",Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Jack Lee, PhD",Psychology,"Oscar
Clinically Integrated Network Member"
"Peter E Legnani, MD",Gastroenterology,"New York Gastroenterology Associates LLP
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Shari L Leipzig, MD",Obstetrics & Gynecology,"Shari Leipzig MD, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Humana (Medicare), 
Oscar, UMR Top Tier, UMR Top Tier, United (Commercial) Clinical 
Integrated Network, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Paul Leis, DO",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Jared D Leventhal, MD",Cardiology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Jody A Levine, MD",Dermatology,"Dermatology Laser Surgery of Carnegie Hill, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Vanessa Litoff, PsyD",Psychology,Clinically Integrated Network Member
"Zhixi Liu, LCSW",Licensed Clinical Social Worker,Clinically Integrated Network Member
"Alexandra Livanos, MD, PhD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Aimee L Lucas, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Kimberly Mangla, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Deborah B Marin, MD",Psychiatry,"Top Tier
Clinically Integrated Network Member"
"James F Marion, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Orit Markowitz, MD",Dermatology,"Markowitz Medical, PLLC
Aetna (Commercial) Clinical Integrated Network, Aetna 
(Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare
Clinical Integrated Network, Humana (Medicare), Oscar, Top Tier, 
UMR Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Elana Maser, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Saurabh Mehandru, MD",Gastroenterology,"Centivo Comerical, Emblem Health (HIP) Clinical Integrated Network, 
Empire (Commercial) Clinical Integrated Network, Humana (Medicare), 
Oscar, Top Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Reza Mehrazin, MD",Urology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Adelyn R Melnikoff, LCSW",Licensed Clinical Social Worker,"Oscar
Clinically Integrated Network Member"
"Amirhossein Modabbernia, MD",Psychiatry,"Oscar
Clinically Integrated Network Member"
"Ana Monteagudo, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Ana Monteagudo, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Milana Mor, MD",Psychiatry,"Milana Mor Psychiatry
Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Empire (Commercial) 
Clinical Integrated Network, Top Tier, UMR Top Tier
Clinically Integrated Network Member"
"Daniel Musikantow, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Satish Nagula, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Steven Naymagon, MD",Gastroenterology,"New York Gastroenterology Associates LLP
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Wendy Neal, MD",Adolescent Medicine (Family Medicine),Clinically Integrated Network Member
"Renana Nerwen, PsyD",Psychology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Van Hong D Nguyen, MD",Cardiology / Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Dhruti Patel, MD",Urology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Deena Peyser Faleck, PhD",Psychiatry,"Oscar
Clinically Integrated Network Member"
"Joseph A Racanelli, MD",Internal Medicine,"Joseph A. Racanelli, MD
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Asif M Rahman, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Andrei Rebarber, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Andrei Rebarber, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Sarah Retchin, LMSW",Licensed Master Social Worker,"Oscar
Clinically Integrated Network Member"
"Stephanie H Rocha, LCSW",Licensed Clinical Social Worker,"Oscar
Clinically Integrated Network Member"
"Alan J Rosen, DPM",Podiatry,"Alan J. Rosen, DPM, PC
Emblem (GHI Medicare) Clinical Integrated Network, Empire 
(Commercial/Medicare) Clinical Integrated Network, Humana 
(Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Heather Rosen, PhD",Clinical Psychology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Michael A Rothschild, MD",Otolaryngology,"Michael Rothschild, MD, PLLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Bruce E Sands, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"John P Sfakianos, MD",Urology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Brijen Shah, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Vanshdeep Sharma, MD",Psychiatry,"Humana (Medicare), Top Tier
Clinically Integrated Network Member"
"Jared Shiff, PsyD",Psychology,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Sabrina Shih, LMSW",Licensed Master Social Worker,"Oscar
Clinically Integrated Network Member"
"Allison B Singer, LCSW",Licensed Clinical Social Worker,"Oscar
Clinically Integrated Network Member"
"Jeneane Solz, PhD",Psychology,"Top Tier
Clinically Integrated Network Member"
"Jessica B Spiegelman, MD",Maternal and Fetal Medicine,"Carnegie Hill Imaging for Women
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Jessica B Spiegelman, MD",Maternal and Fetal Medicine,"Maternal Fetal Medicine Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier
Clinically Integrated Network Member"
"Adam F Steinlauf, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Joshua T Sullum, MD",Obstetrics & Gynecology,"Joshua Sullum, MD, LLC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Commerical) 
Clinical Integrated Network, Emblem (GHI Medicare) Clinical 
Integrated Network, Emblem Health (HIP Commerical and Medicare) 
Clinical Integrated Network, Empire (Commercial/Medicare) Clinical 
Integrated Network, Humana (Medicare), Oscar, UMR Top Tier, 
United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Steven Sultan, MD",General Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Robyn J Sysko, PhD",Psychology,"Aetna (Commercial) Clinical Integrated Network, Top Tier
Clinically Integrated Network Member"
"Saniya A Tabani, PhD",Psychology,Clinically Integrated Network Member
"Xiao Tong Tao, PhD",Psychiatry,"Top Tier
Clinically Integrated Network Member"
"Alex S Tepper, MD",Obstetrics & Gynecology,"Alex S. Tepper MD, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Ryan C Ungaro, MD",Internal Medicine,
Clinical Integrated Network,Clinically Integrated Network Member,
"Chang Wang, MD",Psychiatry,"Centivo Comerical, Oscar
Clinically Integrated Network Member"
"Adaya Weissler-Snir, MD",Cardiology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"William Whang, MD",Cardiology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Pascale M White, MD",Gastroenterology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Cheryl Wolff, LCSW",Licensed Clinical Social Worker,"Oscar
Clinically Integrated Network Member"
"Danny Wong, MD",Gastroenterology,"New York Gastroenterology Associates LLP
Clinically Integrated Network Member"
"Serre-Yu Wong, MD",Gastroenterology,
Clinically Integrated Network Member,"(212) 241-4299    |    201 East 93rd Street, New York, NY 10128    |     2.96 miles",
"Dana Zalkin, MD",Gastroenterology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Alan A Adler, MD",Obstetrics & Gynecology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Rajshi Akruwala, MD",Internal Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Yaniv Y Brailovschi, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Sharon Buchbinder, DO",Family Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"David J Cohen, MD",Diagnostic Radiology,"Gynecology & Integrative  Women's Care, PC
Aetna (Commercial/Medicare) Clinical Integrated Network, Centivo 
Comerical, Cigna (Commercial) Clinical Integrated Network, Cigna 
(Medicare) Clinical Integrated Network, Emblem (GHI Medicare) 
Clinical Integrated Network, Emblem Health (HIP Commerical and 
Medicare) Clinical Integrated Network, Empire (Commercial/Medicare) 
Clinical Integrated Network, Humana (Medicare), Oscar, UMR Top 
Tier, United (Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Elizabeth Dennis, MD",Orthopaedic Surgery,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Marwa Eldik, MD",Family Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Elizabeth B Enschede, MD",Family Medicine,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Martha Harrison, MD",Obstetrics & Gynecology,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Aron Kandinov, MD",Otolaryngology,"ENT and Allergy Associates
Centivo Comerical, Humana (Medicare), Oscar, UMR Top Tier, United 
(Commercial) Clinical Integrated Network
Clinically Integrated Network Member"
"Rachel L Kassenoff, MD",Obstetrics & Gynecology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Howard H Kurtz, MD",Obstetrics & Gynecology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Gennady B Landa, MD",Ophthalmology,"Aetna (Commercial) Clinical Integrated Network, Centivo Comerical, 
Cigna (Commercial) Clinical Integrated Network, Emblem Health (HIP) 
Clinical Integrated Network, Empire (Commercial) Clinical Integrated 
Network, Humana (Medicare), Oscar, Top Tier, United (Commercial) 
Clinical Integrated Network
Clinically Integrated Network Member"
"Charles Litchfield, MD",Sports Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
"Nicholas Lopresto, DO",Family Medicine,"Centivo Comerical, Humana (Medicare), Oscar
Clinically Integrated Network Member"
