Full Name,Division
"Erica E Igbinoghene, MD",Emergency Medicine
"Benedikt Ilyaguyev, DO",Emergency Medicine
"Gene Y Im, MD",Liver Diseases
"Krithi Irmady, MBBS",Neurology
"Mehrin Islam, MD",Pediatrics
"Adelle Iusim, MD",Emergency Medicine
"Rupa L Iyengar-Kapuganti, MD",Cardiology
"Anitha Iyer-Kothari, PhD",Psychology
"Adam H Jacobi, MD",Diagnostic Radiology
"Jordan M Jacobs, MD",Plastic Surgery
"Andy S Jagoda, MD",Emergency Medicine
"Logan Jardine, MD",Emergency Medicine
"Noelle Marie C Javier, MD",Hospice & Palliative Medicine
"Cortlyn Jeter, MD",Emergency Medicine
"Malcolm Johnson, MD",Emergency Medicine
"Stephen Johnstone, MD",Orthopaedic Surgery
"Salazar A Jones, MD",Neurosurgery
"Jose Miguel Juarez, MD",Emergency Medicine
"Jeffrey Julian, MD",Emergency Medicine
"Shelda Kalloo, MD",Emergency Medicine
"Garima Kalra, DO",Internal Medicine
"Mikail Kamal, DO",Geriatric Medicine
"Ankit Kansal, MD",Otolaryngology
"Tanya Kapka, MD",Family Medicine
"Yonatan B Kaplan, MD",Psychiatry
"Vishal Kapur, MD",Cardiology
"Craig L Katz, MD",Psychiatry
"David Kaufman, MD",Pediatric Neurology
"Shubhi Kaushik, MD",Pediatrics / Pediatric Critical Care Medicine
"Maia Kayal, MD",Internal Medicine / Gastroenterology
"Kasim Kazbay, MD",Gastroenterology
"Gabriela R Keeton, MD",Neurology
"Kristen M Kelly, MD",Emergency Medicine
"Sergey Khaitov, MD",General Surgery
"Rishi Khakhkha, MD, MBA",Emergency Medicine
"Yasmin Khan, MD","Endocrinology, Diabetes and Metabolism"
"Utsha Khatri, MD",Emergency Medicine
"Le Yu Khine, MD","Endocrinology, Diabetes and Metabolism"
"Abdul A Khuwaja, MD",Hematology & Oncology / Internal Medicine
"Christen Kidd, MD",Psychiatry
"Amie M Kim, MD",Emergency Medicine
"Boram Kim, DO",Pulmonary Disease / Internal Medicine
"Brian D Kim, MD",Neurology
"Jaehon M Kim, MD",Orthopaedic Surgery
"John K Kim, MD",Emergency Medicine
"Renita S Kim, MD, PhD",Obstetrics & Gynecology
"Sanghyun A Kim, MD",Colon & Rectal Surgery
"Sung Y Kim, MD",Vascular Surgery
"Subhash U Kini, MD",Laparoscopic Surgery
"Diana N Kirke, MD",Otolaryngology
"Dana Klavansky, MD",Neurological Surgery
"Brett Klein, RD",Dietician
"Rebecca Klein, MD",Psychiatry
"Agnieszka Kokoszka, MD",Neurology / Clinical Neurophysiology
"Foula C Kontonicolas, MD",General Surgery
"Yelena Kopyltsova, MD",Allergy & Immunology
"Adam Korayem, MD",General Surgery
"Ninan Koshy, MD",General Surgery
"Sean Kotkin, MD",Cardiology / Nuclear Cardiology
"Emanuel L Kouroupos, MD",Internal Medicine / Gastroenterology
"Joel M Krauss, MD",Pediatrics
"Merab Krikhely, MD",General Surgery
"Priya Krishnasamy, MD",Hospice & Palliative Medicine
"Christopher Kroppmann, MD",Psychiatry
"Jessica Krugman, MD",Pediatrics
"Atul Kukar, DO",Cardiology
"Nina Kukar, MD",Cardiology / Nuclear Cardiology
Clinically Integrated Network Member,"(718) 932-1000    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"John Kulesa, MD",Pediatrics
"Nikhil A Kumta, MD",Internal Medicine
"Kuhali Kundu, DO",Obstetrics & Gynecology
"Daniel B Kurbanov, MD",Pulmonary Disease
"Susannah L Kurtz, MD",Critical Care Medicine / Internal Medicine
"Zachary D Kuschner, MD",Critical Care Medicine
"Alex J Ky-Miyasaka, MD",Colon & Rectal Surgery / General Surgery
"Cameron Kyle-Sidell, MD",Pulmonary Disease
"Benjamin Laitman, MD",Otolaryngology
"Austin S Lam, MD",Otolaryngology
"Jacqueline Lamour, MD",Pediatric Cardiology
"Alexis P Langsfeld, MD",Emergency Medicine
"Michael D Lanigan, MD",Emergency Medicine
"John C Lantis, MD",Vascular Surgery
"Dana D Larsen, MD","Endocrinology, Diabetes and Metabolism"
"Jonathan D Larson, MD",Diagnostic Radiology
"Jeffrey Lautin, MD",Interventional Radiology
"Elyse B Lavine, MD",Emergency Medicine
"Cappi Lay, MD",Emergency Medicine
"Stanislav Lazarev, MD",Radiation Oncology
"Melissa Leber, MD",Sports Medicine
"Andrew J Lee, MD",Neurology
"David S Lee, MD",Surgical Oncology
"Denise S Lee, MD",General Surgery
"Dong-Seok D Lee, MD",Thoracic Surgery
"Richard Lee, MD",Emergency Medicine
"Young I Lee, MD",Critical Care Medicine
"Eric Legome, MD",Emergency Medicine
"Jennifer Lehman, MD",General Surgery
"Evan Leibner, MD",Emergency Medicine
"I. Michael Leitman, MD",General Surgery
"Herbert S Lempel, MD",Internal Medicine
"Susan M Lerner, MD",Abdominal Organ Surgery
"Quinn Leslie, MD",Emergency Medicine
"Stephan J Lestin, MD",Emergency Medicine
"Aretina Leung, MD",Internal Medicine
"Rachel J Levene, MD",Pediatric Emergency Medicine
"Jeffrey L Levine, MD",Emergency Medicine
"Stewart B Levine, MD",Psychiatry
"Olga Levochkina, MD",Psychiatry
"Boran Li, MD",Pediatrics
"Kerry Li, DO",Family Medicine
"Kincheon B Li, MD",Pediatric Hematology-Oncology
"Linda Li, MD",General Surgery / Pediatric Surgery
"Wei J Li, MD",Emergency Medicine
"John W Liang, MD",Neurology / Vascular Neurology
"Naomi A Liang, MD",Psychiatry
"Tian Z Liang, MD",Pediatrics
"Eric Lieu, MD",Emergency Medicine
"Czer Anthoney E Lim, MD",Emergency Medicine
"Ateaya A Lima, MD",Psychiatry
"Yue Lin, MD",Emergency Medicine
"Michelle Liu, MD",Neurology
"Peter W Liu, MD",Internal Medicine
"Yuan Liu, MD",Psychiatry
"Yunyun A Lo, MD",General Surgery
"Allison G Lockwood, MD",Emergency Medicine
"Andres Lopez-Albaitero, MD",Otolaryngology
"Jennifer Love, MD",Emergency Medicine
"Tianyi Lu, MD",General Surgery
"Mallory Luckey, MD",Neurology / Vascular Neurology
"Sanida Lukovic, MD",Emergency Medicine
"Douglas K MacDonald, MD",Emergency Medicine
Clinically Integrated Network Member,"(718) 932-3100    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Patrick J Maher, MD",Pulmonary Critical Care
"Joseph Mahgerefteh, MD",Pediatrics
"Fahima Mahir, MD",Nephrology
"Dawar Mahmood, MD",General Surgery
"Matthew F Majeske, MD",Psychiatry
"Shahram Majidi, MD",Neurosurgery
"Khushbu Majmundar, MD",Psychiatry
"Eleni Maloutas, MD",Psychiatry
"Kimberly Mangla, MD",Psychiatry
"Sonali Mantoo, MD",Pulmonary Critical Care / Internal Medicine
"Thomas E Maples, MD",Psychiatry
"Samuel Mapp, MD",General Surgery
"Konstantinos Margetis, MD",Neurosurgery
"Michael L Marin, MD",Vascular Surgery
Clinical Integrated Network,Clinically Integrated Network Member
"Deborah C Marshall, MD",Radiation Oncology
"Jennifer L Marti, MD",General Surgery
"Krista Martinez, MD",Psychiatry
"Rebecca K Masutani, MD",Geriatric Medicine
"Judith E Mathieu, MD",Critical Care Medicine
"James Maurer, MD",General Surgery
"Daniel McConnell, MD",Emergency Medicine
"Sarah L McCuskee, MD",Emergency Medicine
"Jolion McGreevy, MD",Emergency Medicine
"Joshua O McHugh, MD",Emergency Medicine
"James F McKinsey, MD",Vascular Surgery
"Benjamin A McVane, MD",Emergency Medicine
"Michael N Megally, MD",Pulmonary Disease
"Sunil Mehra, MD",Pulmonary Disease / Internal Medicine
"Integrated Network, Emblem Health (HIP Commerical and Medicare)","Clinical Integrated Network, Emblem Health (HIP) Clinical Integrated"
"Yohannes Melaku, MD",Critical Care Medicine
"Kristin A Meliambro, MD",Nephrology
"Marcelo Mendez, MD",Cardiology / Internal Medicine
"Roland Merchant, MD",Emergency Medicine
"Peter S Midulla, MD",Pediatric Surgery
"Mark Mikhly, MD",Emergency Medicine
"Bojana Milekic, MD",Internal Medicine
"Ramon Millan, MD",Emergency Medicine
"Betty J Mintz, MD",Neurology
"Luisa Isabel Misa, MD",Pediatrics
"Jonathan Mishoe, MD",Emergency Medicine
"Tiffany Mitchell, MD",Emergency Medicine
"Avir Mitra, MD",Emergency Medicine
"Neal Moehrle, MD",Emergency Medicine
"Borna Mohabbatizadeh, MD",General Surgery
"Edwardine M Mohanraj, MD",Critical Care Medicine / Pulmonary Disease
"Peter Morgenstern, MD",Neurosurgery
"Rolfe Sean Morrison, MD",Geriatric Medicine
"David Mortel, MD",Pediatrics / Pediatric Emergency Medicine
"Zan Mra, MD",Otolaryngology
"Bridget Mueller, MD",Neurology
"Meaghan E Mungekar, MD",Pediatrics
"Adiel Munk, MD",Pediatrics
"Jonathan L Murphy, MD",Interventional Cardiology
"Meagan Murphy, MD",Emergency Medicine
"Sara Murphy, MD",Emergency Medicine
"Georges Naasan, MD",Neurology
"Neelima Nadella, MD",Interventional Cardiology / Cardiology
Clinically Integrated Network Member,"(718) 808-7777    |    30-14 Crescent Street, 2nd Floor, Astoria, NY 11102    |     3.64 miles"
"Zaw Naing, MD",Internal Medicine
"Arunabha Nandi, MD",Emergency Medicine
"Becky Naoulou, MD",Internal Medicine
"Denise Nassisi, MD",Emergency Medicine
"Mansi M Nayak, MD",Emergency Medicine
"Anthony D Nehlsen, MD",Radiation Oncology
"Ka Ming G Ngai, MD",Emergency Medicine
"Scott Q Nguyen, MD",Laparoscopic Surgery / Bariatric Surgery
"Thomas T Nguyen, MD",Emergency Medicine
"Yezina T Nigatu, MD",Nephrology / Internal Medicine
"Kusuma Nio, MD",General Surgery
"Jeranil Nunez, MD",Pediatric Emergency Medicine / Pediatrics
"Sussana Oad, MD",Emergency Medicine
"Shunpei Okochi, MD",Pediatric Surgery / General Surgery
"Randall P Owen, MD",Surgical Oncology
"Thomas J Oxley, MD",Neurosurgery
"Oscar A Padilla, MD",Radiation Oncology
"Leonidas Palaiodimos, MD",Internal Medicine
"Frank Palumbo, MD",Gastroenterology
"Harry Pantelides, MD",Otolaryngology
"Koji Park, MD",General Surgery
"Kenya Maria Parks, MD",Pediatrics
"Suparna Patcha, MD",Pediatrics
"Amish Patel, MD",Emergency Medicine
"Ankita Patel, MD",Nephrology
"Divya Patel, MD",Psychiatry
"Hetal Patel, DO",Pediatrics
"Puja K Patel, MD",Emergency Medicine
"Vaishali R Patel, MD",Emergency Medicine
"Aarti R Patil, MD",Cardiothoracic Surgery
"Paru S Patrawalla, MD",Critical Care Medicine / Internal Medicine
"Luca Pauselli, MD",Psychiatry
"Chandni K Pawar, MD",Emergency Medicine
"Varun Pawar, MD",Ophthalmology
"Kimberly G Peters, MD",Neurology
"John P Phair, MD",Vascular Surgery
"Harrison Pidgeon, MD",Emergency Medicine
"Preethi Pirlamarla, MD",Cardiology
"Matthew Pius, MD",Emergency Medicine
"Michael C Plietz, MD",General Surgery
"Jeremy D Podolnick, MD",Orthopaedic Surgery
"Elisa R Port, MD",Surgical Oncology
"Claudine N Portella, MD",Internal Medicine
"Trevor R Pour, MD",Emergency Medicine
"Kamron Pourmand, MD",Liver Diseases
"David Power, MBBS",Cardiology / Internal Medicine
"Arjun Prabhu, MD",Emergency Medicine
"Gabriel Prager, MD",Emergency Medicine
"Lisa Primiani, MD",Family Medicine
"Michael L Prodromou, MD",Pulmonary Disease
"Libo Qiu, MD",Pathology
"Andrew J Quinn, MD",Gastroenterology
"Elaine J Rabin, MD",Emergency Medicine
"Florian Radu, DO",General Surgery
"Asif M Rahman, MD",Psychiatry
"Andres Ramirez Zamudio, MD",Obstetrics & Gynecology
"Ajit Rao, MD",General Surgery
"Benjamin Rapoport, MD",Neurosurgery
"Bianca Redhead, MD",General Surgery
"Michael A Redlener, MD",Emergency Medicine
"Tahreem Rehman, MD",Emergency Medicine
"Amanda Reich, MD",Pediatrics
"Ryan Renacci, MD",Emergency Medicine
"Madeline Renny, MD",Emergency Medicine
"Kestrel Reopelle, MD",Emergency Medicine
"Lucas R Resende Salgado, MD",Radiation Oncology
"Christopher Reverte, MD",Emergency Medicine
"Alexandra Reynolds, MD",Neurology
"Christopher G Richardson, MD",Emergency Medicine
"Lynne D Richardson, MD",Emergency Medicine
"Max Rippe, MD",Emergency Medicine
"Luis G Rivera Sanchez, MD",General Surgery
"Robin D Roberts, MD",Emergency Medicine
"Bruce Robin, MD",Cardiology / Interventional Cardiology
Clinically Integrated Network Member,"(718) 932-1000    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Chiara Rocha, MD",Transplant Surgery
"Rebecca A Rodin, MD",Internal Medicine / Hospice & Palliative Medicine
"Carlos Rodriguez-Bonilla, MD",Hematology & Oncology
"Rebecca Roediger, MD",Gastroenterology
"Jeremy M Rose, MD",Emergency Medicine
"Blake D Rosenthal, MD",Psychiatry
"Kenneth E Rosenzweig, MD",Radiation Oncology
"Adam C Rothman, MD",Critical Care Medicine / Pulmonary Disease
"Carl-Philippe Rousseau, MD",Geriatric Medicine / Family Medicine
"Joel R Rowe, MD",Emergency Medicine
"John Rozehnal, MD",Emergency Medicine
"Elizabeth J Rubano, MD",Emergency Medicine
"Steven Rudolph, MD",Neurology
Clinically Integrated Network Member,"(718) 808-7777    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Andrin Sadikaj, MD",Psychiatry
"Louis Saffran, MD",Pulmonary Disease / Critical Care Medicine
"Audrey Saitta, MD",Radiation Oncology
"Ankit Sakhuja, MBBS",Critical Care Medicine / Nephrology
"James S Salonia, MD",Critical Care Medicine / Pulmonary Disease
"Reza N Samad, MD",Internal Medicine
Clinically Integrated Network Member,"(212) 241-6500    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Ossama R Samuel, MD",Cardiology / Nuclear Cardiology
"Jennifer E Sanders, MD",Emergency Medicine
"Martine Sanon, MD",Geriatric Medicine
"Voravut O Sarabanchong, MD",Obstetrics & Gynecology
"Christine Saracino, DO",Emergency Medicine / Pediatrics
"Umut Sarpel, MD",Surgical Oncology
"Nidhish Sasi, MD",Emergency Medicine
"Turandot Saul, MD",Emergency Medicine
"Regina Saylor, MD",Emergency Medicine
"Hani Sbitany, MD",General Surgery
"Jonathan Schimmel, MD",Emergency Medicine
"Jan F Schuetz-Mueller, MD",Psychiatry
"Mirela N Schwartz, MD",Emergency Medicine
"William Schwartz, MD",Cardiology
"Vinita Sehgal, MD",Kidney/Pancreas Transplantation
"Allison Selby, DO",Cardiology
"Rodrigo Sequeira, MD",General Surgery
"Monica Sethi, MD",Internal Medicine
"John P Sfakianos, MD",Urology
"Ankit R Shah, MD",Internal Medicine
"Anuj Shah, MD",Emergency Medicine
"Ujas H Shah, MD",Emergency Medicine
"Zainab Shaheen, MD","Endocrinology, Diabetes and Metabolism"
"Ahmed Shaikh, MD",Critical Care Medicine
"Gururaj Shan, MD",Emergency Medicine
"Evan Shapiro, MD",Emergency Medicine
"Janet M Shapiro, MD",Critical Care Medicine / Pulmonary Disease
"Ron Shapiro, MD",Abdominal Organ Surgery
"Siri Shastry, MD",Emergency Medicine
"Peter L Shearer, MD",Emergency Medicine
"Jaqueline Sheehan, MD",Internal Medicine
"Huma U Sheikh, MD",Neurology
Clinically Integrated Network Member,"(718) 808-7777    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Danny Sherwinter, MD",General Surgery
"Edward Shlasko, MD",Pediatric Surgery
"Hazem M Shoirah, MD",Neurology
"Dave R Shukla, MD",Orthopaedic Surgery
"Stephen Sigworth, MD",Internal Medicine
"Vannita Simma-Chiang, MD",Urology
"Kunal K Sindhu, MD",Radiation Oncology
"Elizabeth K Singer, MD",Emergency Medicine
"Anjali Singh, MD",Pediatric Emergency Medicine
"Anuradha Singh, MD",Neurology / Clinical Neurophysiology
"Rani D Sittol, MD",Internal Medicine
"Maria Skamagas, MD","Endocrinology, Diabetes and Metabolism"
"Cardinale B Smith, MD",Medical Oncology
"Kelly Smith, MD",Pediatrics
"Phillip Smith, MD",General Surgery / Surgical Critical Care
"Christopher J Smolock, MD",General Surgery
"Ekaterina Sokolova, MD",Internal Medicine
"Laili Soleimani, MD",Psychiatry
"Rachel Solnick, MD",Emergency Medicine
"Samuel E Sondheim, MD",Emergency Medicine
"Krishnasamy Soundararajan, MD",Vascular Surgery
"Sophia Spadafore, MD",Emergency Medicine
"Elizabeth Spencer, MD",Pediatrics / Pediatric Gastroenterology
"Louis Spina, MD",Pediatric Emergency Medicine
"Westley J Spiro, MD",Emergency Medicine
"Jonathan Spitz, MD",Emergency Medicine
"Pranay Srivastava, MD",Internal Medicine
"Richard S Stark, MD",Psychiatry
"Laura K Stein, MD",Neurology
"Jeremy Steinberger, MD",Neurosurgery
"Randolph M Steinhagen, MD",Colon & Rectal Surgery
"Ashley Sterchele, MD",Psychiatry
"Nicholas Stevens, MD",Psychiatry
"Bess M Storch, MD",Internal Medicine
"Matthew Straight, MD",Emergency Medicine
"Christopher G Strother, MD",Pediatric Emergency Medicine
"Judah J Sueker, MD",Emergency Medicine
"Hassan Suleiman, MD",Internal Medicine
"Javed Suleman, MD",Cardiology
"Rachel Sullivan, MD",Emergency Medicine
Clinically Integrated Network Member,"(718) 808-7003    |    30-14 Crescent Street, Astoria, NY 11102    |     3.64 miles"
"Steven Sultan, MD",General Surgery
"Brian D Sumner, MD",Emergency Medicine
"Ramona Sunderwirth-Bailly, MD",Emergency Medicine
"Patricia Sylla, MD",Colon & Rectal Surgery / General Surgery
"Georgios Syros, MD",Cardiology
"John Tackett, MD",General Surgery
"Rami O Tadros, MD",Vascular Surgery
"Che- YU J Tai, MD",Psychiatry
"Susan M Talbert, MD",General Surgery
"Pranai Tandon, MD",Critical Care Medicine
"Ryan E Tansek, MD",Emergency Medicine
"Peter J Taub, MD",Plastic Surgery
"Justin K Tay, MD",Neurology
"Aida Taye, MD",General Surgery
"Shameeke Taylor, MD",Emergency Medicine
"Fasika Tedla, MD",Internal Medicine / Nephrology
"Rahul N Thakker, MD",Emergency Medicine
"Janvi Thampi, MD",Pulmonary Critical Care
"Paul A Thodiyil, MD",General Surgery
"Dave Thomas, MD",Internal Medicine
"Deepti Thomas-Paulose, MD",Emergency Medicine
"Seanna Thompson, MD",Obstetrics & Gynecology
"Frederick L Thum, MD",Emergency Medicine
"Jess Ting, MD",Plastic Surgery
"Windsor Ting, MD",Vascular Surgery
"Daryl Tiong, MD",Emergency Medicine
"Vanessa Tiongson, MD",Neurology
"Lindsay Tishberg, MD",Pediatric Emergency Medicine
"George J Todd, MD",General Surgery
"Julia R Tokarski, MD",Pediatric Nephrology
"Somone Tomasi, MD",Psychiatry
"Philip J Torina, MD",Plastic Surgery
"Ann Tran, MD",Obstetrics & Gynecology
"Shefali Trivedi, MD",Emergency Medicine
"Catherine Tsai, MD",General Surgery
"Ashley T Tsang, MD",General Surgery
"Che-Kai Tsao, MD",Medical Oncology
"James W Tsung, MD",Pediatric Emergency Medicine
"Efstathia Tzatha, MD",Neurology
"Takeshi Uemura, MD",Geriatric Medicine
"Jaime V Uribarri, MD",Nephrology
"Gandhi Vallarapu, MD",Psychiatry
"Edgar Z Vanegas, MD",Family Medicine
"Peter C Vangronigen, MD",Emergency Medicine
"Lara Vanyo, MD",Emergency Medicine
Clinically Integrated Network Member,"(718) 808-7003    |    30-14 Crescent Street, Astoria, NY 11102    |     3.64 miles"
"John Vaszari, MD",Psychiatry / Psychosomatic Medicine
"Georgios Voloudakis, MD",Psychiatry
"Nico Volz, MD",Emergency Medicine
"Kaitlyn R Votta, MD",Emergency Medicine
"Ageliki G Vouyouka, MD",Vascular Surgery
"Vikram Wadhera, MD",Transplant Surgery
"Lauren Wagner, MD",Internal Medicine / Hospice & Palliative Medicine
"Nikhil Waingankar, MD",Urology
"Harry Wanar, MD",Anesthesiology / Critical Care Medicine
"Chang Wang, MD",Psychiatry
"Richard Wang, MD",Emergency Medicine
"Raymond V Wedderburn, MD",General Surgery
"Naomi Weiss-Goldman, MD",Psychiatry
"Christina R Weltz, MD",Breast Surgery
"Chase Westra, MD",Emergency Medicine
"Ruwanthi Wijesinghe, MD",Cardiology
"Carl Wilkins, MD",Ophthalmology
"Van Don Williams, MD",Pediatrics
"Amanda M Wilson, MD",Psychiatry
"Alan Wong, DO",Critical Care Medicine
"Tommy Y Wong, MD",Emergency Medicine
"Benjamin Wyler, MD",Emergency Medicine
Clinical Integrated Network,Clinically Integrated Network Member
"Steven Xian, MD",Neurology
"Ambika Yadav, MBBS",Psychiatry
"Yuji Yamada, MD",Internal Medicine / Geriatric Medicine
"Diana H Yan, MD",Emergency Medicine
"Yuhui Yan, MD",General Surgery
"Edward C Yang, MD",Orthopaedic Surgery
"Nyima Yangdhar, MD",Family Medicine
"Alice S Yao, MD",Plastic Surgery
"Amna Yaqoob, MD",Internal Medicine
"Elizabeth Yetter, MD",Emergency Medicine
"Jeremy Ying, MD",Psychiatry
"Raymund L Yong, MD",Neurosurgery
"James J Young, MD",Neurology
"Ismail Zahir, MD",Pathology
"Julia Zakhaleva, MD",Colon & Rectal Surgery / General Surgery
"Benjamin Zalta, MD",Diagnostic Radiology
"Debra R Zane, MD",Pediatrics
"Nathan I Zapolsky, MD",Emergency Medicine
"Michael J Zeidman, MD",General Surgery
"Linda P Zhang, MD",General Surgery / Bariatric Surgery
"Lauren E Zinns, MD",Pediatrics
"Yasmina Zoghbi, MD",Plastic Surgery
"Vivian M Abascal, MD",Cardiology
"Ethan Abbott, DO",Emergency Medicine
"Dalia Abdel Azim, MD",Anatomic Pathology
"Judith A Aberg, MD",Infectious Disease
"Brian Abittan, MD",Dermatology
"Jessica Ables, MD",Psychiatry
"Cynthia Abraham, MD",Obstetrics & Gynecology
"Gallane D Abraham, MD",Emergency Medicine
"Rory Abrams, MD",Neurology
"Matthew Abramson, MD",Nephrology / Internal Medicine
"Noura Abul-Husn, MD",Internal Medicine
"Natasha Acosta Diaz, MD",Neurotology
"Samuel O Acquah, MD",Pulmonary Disease
"Ana Acuna-Villaorduna, MD",Internal Medicine
"Jonas Adalsteinsson, MD",Dermatology
"David H Adams, MD",Cardiothoracic Surgery
"Alan A Adler, MD",Obstetrics & Gynecology
"Debora Afezolli, MD",Hospice & Palliative Medicine / Internal Medicine
"Ritu Agarwal, MD",Liver Diseases
Clinically Integrated Network Member,"(212) 241-6756    |    1 Gustave L. Levy Place, New York, NY 10029    |     3.75 miles"
"Shradha Agarwal, MD",Allergy & Immunology
"Manasi Agrawal, MD",Gastroenterology
"Samuel K Agyare, MD",Emergency Medicine
"Amanda Agyemang, MD",Pediatrics
"Debra A Aharon, MD",Obstetrics & Gynecology
"David Aharonoff, MD",Neurology / Epilepsy
"Danish A Ahmad, MD",Emergency Medicine
"Jawad Ahmad, MD",Liver Transplanation
"Sumayya Ahmad, MD",Ophthalmology
"Jalal Ahmed, MD, PhD",Radiation Oncology
"Sanam Ahmed, MD",Critical Care Medicine
"Mohammed Akhtar, MD",General Surgery
"Saadia Akhtar, MD",Emergency Medicine
"Paul M Al-Attar, MD",Orthopaedic Surgery
"Zainab Al-Ibraheemi, MD",Maternal and Fetal Medicine / Obstetrics & Gynecology
"Robert Aldoroty, MD",General Surgery
"Melissa A Alexander, MD",Pathology
"Tariq Alfarra, DO",Physical Medicine & Rehabilitation
"Ayesha Ali, MD",Emergency Medicine
"Yousaf Ali, MD",Rheumatology / Internal Medicine
"Maddalena Allegretta, MD",Rheumatology
"Abigail K Allen, MD",Orthopaedic Surgery
"Katherine E Allyn, MD",Internal Medicine
"Deena Altman, MD",Internal Medicine / Infectious Disease
"Gregory Amend, MD",Urology
"Nana Amoh, PhD",Psychology
"Monica K Amoo-Achampong, MD",Pediatrics
"Theodora Anagnostou, MD",Hematology & Oncology
"Malcolm Anastasius, MD",Cardiology
"James J Andersen, MD",Psychiatry
"Brett Anderson, MD",Pediatrics
"David Anderson, MD",General Surgery
"Jordyn Anderson, PsyD",Psychology
"Allen D Andrade, MD",Geriatric Medicine
"Mark C Andreae, MD",Emergency Medicine
"Kevin Andujar, MD",Internal Medicine
"Celina S Ang, MD",Medical Oncology
"Claire Ankuda, MD",Geriatric Medicine
"Rachel Annunziato, PhD",Psychology
"Swati Antala, MD",Pediatrics
"Shawn G Anthony, MD",Orthopaedic Surgery
"Anelechi C Anyanwu, MD",Cardiothoracic Surgery
"Donald Apakama, MD",Emergency Medicine
"Olusegun A Apoeso, MBBS",Hospice & Palliative Medicine
"Jacob M Appel, MD",Psychiatry
"Rachel Arakawa, MD","Endocrinology, Diabetes and Metabolism"
"George Arida, MD",Obstetrics & Gynecology
"Suzanne A Arinsburg, MD",Anatomic Pathology
"Robert Arnold, MD",Hospice & Palliative Medicine
"Rica Arnon, MD",Pediatric Cardiology
"Antonios Arvelakis, MD",General Surgery
"Charles J Ascher-Walsh, MD",Obstetrics & Gynecology
"Roshan Asrami, MD",Hematology & Oncology
"Jesse J Astwood, MD",Psychiatry
"Marwan Atallah, MD",Urology
"William M Atallah, MD",Urology
"Haytham Atileh, MD",Critical Care Medicine / Pulmonary Disease
"Deepak S Atri, MD",Cardiology
"Kyrollis Attalla, MD",Urology
"Danielle A Auslander, PsyD",Psychology
"Bella K Avanessian, MD",Plastic Surgery
"Nita G Avrith, MD",Emergency Medicine
"Felipe A Ayala, MD",Neurology
"Hameed Azeb Shahul, MD",Psychiatry
"Jacques Azzi, MD",Hematology
"Hae Young Baang, MD",Neurocritical Care
"Alina Babar, MD",Psychiatry
"Julia Babcock, LMSW",Licensed Master Social Worker
"Nancy Bach, MD",Liver Diseases
"Ketan K Badani, MD",Urology
"Helen Badu, MD",Neurology
"Virginia M Baez Socorro, MD",Pediatrics
"Kara S Bagot, MD",Psychiatry
"Shahla Baharlou, MD",Geriatric Medicine
"Matthew Y Bai, MD",Emergency Medicine
"Kayleen Bailey, MD",Pediatrics
"Ian Baine, MD",Clinical Pathology / Blood Banking/Transfusion Medicine
"Mary Grace Baker, MD",Internal Medicine
"Maryam Bakhshandeh, MD",Pathology
"Richard L Bakst, MD",Radiation Oncology
"Melissa Baldwin, MD",General Surgery
Clinical Integrated Network,Clinically Integrated Network Member
"Tara Balija, MD",Breast Surgery
"Manisha C Balwani, MD",Clinical Genetics and Genomics (MD)
"Jeffrey A Bander, MD",Cardiology
"Emily Baneman, MD",Internal Medicine
"Ronjon Banerjee, MD",Psychiatry
"Theodore Bania, MD",Emergency Medicine / Medical Toxicology (Emergency Medicine)
"Rudrani Banik, MD",Ophthalmology
"Sarah M Bannon, PhD",Psychology
"Meena Bansal, MD",Hepatology
"Neha Bansal, MD",Pediatric Cardiology
"Nikita Barai, MD",Internal Medicine
"Mark G Barber, MD, MPH",Neurology
"Peter J Barelli, MD",Psychiatry
"Maya Barghash, MD",Cardiology
"Nitin Barman, MD",Cardiology / Internal Medicine
"Barbara J Barnett, MD",Emergency Medicine / Internal Medicine
"John Barrett, MD",Emergency Medicine
"David Barris, MD",Pediatrics
"Christin J Barry, MD",Emergency Medicine
"Victoria Barry, PsyD",Psychology
"Logan Bartram, MD",Internal Medicine
"Lawrence Baruch, MD",Cardiology
"David S Baskin, PsyD",Psychology
"Brett Baskovich, MD",Pathology
"Adel Bassily-Marcus, MD",Critical Care Medicine
"Martin Bassiur, DDS",Dentist
"Arnabh Basu, MD",Psychiatry
"Amanda Bates, MD",Emergency Medicine
"Priti Batta, MD",Ophthalmology
"Mukta Baweja, MD",Internal Medicine
"Joseph A Bax, DO",Physical Medicine & Rehabilitation
"Mary B Beasley, MD",Anatomic & Clinical Pathology
"Oren Becher, MD",Pediatric Hematology-Oncology
"Erin Beck, MD",Psychiatry
"Jennifer Beck-Esmay, MD",Emergency Medicine
"Christian D Becker, MD",Internal Medicine / Critical Care Medicine
"Jay R Begun, MD",Pediatrics
