Full Name
"Judith A Aberg, MD"
"(212) 241-6500    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Melissa Leber, MD"
"Robert Leber, MD"
"Stephanie Lechich, PhD"
"Andrew J Lee, MD"
"Cheong E Lee, DDS"
"David S Lee, MD"
"Denise S Lee, MD"
"Dong-Seok D Lee, MD"
"Jack Lee, PhD"
"Jennifer S Lee, DMD"
"Kyusang S Lee, MD"
"Patty J Lee, MD"
"Richard Lee, MD"
"Young I Lee, MD"
"Eric Legome, MD"
"David A Lehman, MD"
"Jennifer Lehman, MD"
"Evan Leibner, MD"
"Rosanne M Leipzig, MD"
"Paul Leis, DO"
"I. Michael Leitman, MD"
"Andrea Lendaris, MD"
"Kathleen A Leonard, MD"
"Quinn Leslie, MD"
"Stephan J Lestin, MD"
"Justin Leung, MD"
"Rachel J Levene, MD"
"Annie Levesque, MD"
"Gabriel S Levi, MD"
"Alice C Levine, MD"
"Jeffrey L Levine, MD"
"Stewart B Levine, MD"
"Olga Levochkina, MD"
"Jesse Lewin, MD"
"Ayanna Lewis, MD"
"Rigoberto Leyva, MD"
"Boran Li, MD"
"Erin Li, MD"
"Linda Li, MD"
"Samuel Li, MD"
"Wei J Li, MD"
"John W Liang, MD"
"Naomi A Liang, MD"
"Tian Z Liang, MD"
"Max A Lichtenstein, MD"
"Whitney E Lieb, MD"
"(212) 523-4000    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Elaine M Liebman, PsyD"
"Czer Anthoney E Lim, MD"
"Ateaya A Lima, MD"
"James Lin, MD"
"Yue Lin, MD"
"Yelena Lindenbaum, MD"
"Humana (Medicare), Humana (Medicare), Oscar, Oscar, UMR Top "
"Michelle Liu, MD"
"Qingqing Liu, MD"
"Yuan Liu, MD"
"Yuxin Liu, MD"
"Alexandra Livanos, MD, PhD"
"Yunyun A Lo, MD"
"Christian Lo Cascio, MD"
"Lisa Loehrke-Sichhart, DO"
"Holly C Loudon, MD"
"Holly C Loudon, MD"
"Jennifer Love, MD"
"Melissa Lozano, MD"
"Dan Lu, MD"
"Tianyi Lu, MD"
"Aimee L Lucas, MD"
"Mallory Luckey, MD"
"Sanida Lukovic, MD"
"Edward Lung, MD"
"(212) 523-4000    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Yuying Luo, MD"
"Rashanna D Lynch, MD"
"Daniel J MacGowan, MD"
"Laura MacIsaac, MD"
"Theresa A Mack, MD"
"Amir Mahajer, DO"
"Nolan Maher, MD"
"Patrick J Maher, MD"
"Kiran Mahmood, MD"
"Matthew F Majeske, MD"
"Shahram Majidi, MD"
"Sejal Majmudar, MD"
"Khushbu Majmundar, MD"
"Neha Malhotra, MD"
"Eleni Maloutas, MD"
"Gregory Malzberg, MD"
"Yusuf A Mamdani, MD"
"Kimberly Mangla, MD"
"Sonali Mantoo, MD"
"Thomas E Maples, MD"
"Yonina Mar, MBBS"
"Lara Marcuse, MD"
"Konstantinos Margetis, MD"
"Lea Marin, MD"
"Michael L Marin, MD"
"James F Marion, MD"
"Nicole M Marona, LCSW"
"Nicole M Marona, LCSW"
"Maxim Marshalik, DO"
"Janeen Marshall, MD"
"Jennifer L Marti, MD"
"Zane B Martindale, MD"
"Krista Martinez, MD"
"Maureen D Martino, MD"
"Rachel J Masch, MD"
"Elana Maser, MD"
"Hilda Massoud, LCSW"
"Hilda Massoud, LCSW"
"Christina N Mastropaolo, MD"
"Rebecca K Masutani, MD"
"Judith E Mathieu, MD"
"Takashi Matsuki, MD"
"James Maurer, MD"
"Martin J Maurer, MD"
"Alexander Mayer, DO"
"Alon Y Mazori, MD"
"Marina Mazur, PhD"
"Daniel McConnell, MD"
"Sarah L McCuskee, MD"
"Jolion McGreevy, MD"
"Joshua O McHugh, MD"
"George F McKinley, MD"
"James F McKinsey, MD"
"Benjamin A McVane, MD"
"Yuliya Medzhitova, PhD"
"Michael N Megally, MD"
"Saurabh Mehandru, MD"
"Reza Mehrazin, MD"
"Ankita Mehta, MD"
"Davendra Mehta, MD"
"Vishal A Mehta, DO"
"Diane E Meier, MD"
"Ira S Meisels, MD"
"Yohannes Melaku, MD"
"Mani Menon, MD"
"Doreen A Mensah, MD"
"(212) 523-4000    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Doreen A Mensah, MD"
"Roland Merchant, MD"
"Peter S Midulla, MD"
"Mark Mikhly, MD"
"Bojana Milekic, MD"
"Ramon Millan, MD"
"Albert D Min, MD"
"Jonathan Mishoe, MD"
"Tiffany Mitchell, MD"
"Avir Mitra, MD"
"Joseph Mizrahi, MD"
"Amirhossein Modabbernia, MD"
"Ippolito Modica, MD"
"Neal Moehrle, MD"
"Borna Mohabbatizadeh, MD"
"Asad Mohammad, DO"
"Edwardine M Mohanraj, MD"
"Milana Mor, MD"
"Trisha Mor, MD"
"Pedro Moreno, MD"
"(212) 523-2400    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Peter Morgenstern, MD"
"Matthew C Mori, MD"
"Rolfe Sean Morrison, MD"
"David Mortel, MD"
"Marilyn M Mota, LCSW"
"Zan Mra, MD"
"Kelly L Mule, PhD"
"Christie Mulholland, MD"
"Michael P Mullen, MD"
"Meaghan E Mungekar, MD"
"Jessi Munoz, MD"
"Jonathan L Murphy, MD"
"Meagan Murphy, MD"
"Sara Murphy, MD"
"Shane Murray, MD"
"Inna Murzakhanova, DO"
"Shruti Mutalik, MD"
"Jeffry D Mutuc, MD"
"Jeffry D Mutuc, MD"
"Dalia S Nagel, MD"
"Dalia S Nagel, MD"
"Satish Nagula, MD"
"Mark Nakhla, MD"
"Isaac Namdar, MD"
"Arunabha Nandi, MD"
"Becky Naoulou, MD"
"Maria Narimanidze, PsyD"
"Eli John Nasrallah, MD"
"Denise Nassisi, MD"
"Allison P Navis, MD"
"Mansi M Nayak, MD"
"Marilyn T Nedumcheril, MD"
"Frank A Nelson, MD"
"Rebecca S Nerenberg, LCSW"
"Rebecca S Nerenberg, LCSW"
"Jenna Nessa, DDS"
"Roberta Newman-Hernandez, LCSW"
"Ka Ming G Ngai, MD"
"Scott Q Nguyen, MD"
"Thomas T Nguyen, MD"
"Daniel G Nicastri, MD"
"(212) 241-2769    |    440 West 114th Street, 6th Floor, New York, NY 10025    |     3.57 miles"
"George Niedt, MD"
"Kusuma Nio, MD"
"Craig Nobert, MD"
"Koichi Nomoto, MD"
"Michael Nowak, MD"
"Lisa A Nowell, MD"
"Jeranil Nunez, MD"
"Custon T Nyabanga, MD"
"Jacob Nyman, PhD"
"Jacob Nyman, PhD"
"Ngabo Nzigira, MD"
"Grenye T O'Malley, MD"
"Mary M O'Sullivan, MD"
"David Ochshorn, LCSW"
"David Ochshorn, LCSW"
"Meyling J Oei, DO"
"Shunpei Okochi, MD"
"Rita Okumu, MD"
"Christian Olivo-Freites, MD"
"Christian Olivo-Freites, MD"
"Maryam Omidi, PhD"
"Ceyda Oner, MD"
"Drorit Or, MD"
"Drorit Or, MD"
"Matthew Oransky, PhD"
"Chiarra M Ornillo, MD"
"Erika Ortiz Sarmiento, MD"
"Annemarie O Osibajo, MD"
"Georgina Osorio, MD"
"Dmitry Ostrovsky, MD"
"Lorenzo F Ottaviano, MD"
"Randall P Owen, MD"
"Sun Joo Paik, DDS"
"Chandhana Paka, MD"
"(212) 523-4000    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Renuka D Paka, MD"
"Carmen E Pal, MD"
"Christina A Palmese, PhD"
"Alberto Paniz-Mondolfi, MD"
"Fedor E Panov, MD"
"(212) 523-2012    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Aditya Parikh, MD"
"Carmen E Parilla, LCSW"
"Carmen E Parilla, LCSW"
"Aileen Park, MD"
"Koji Park, MD"
"Sarah H Park, MD"
"Tina H Park, MD"
"Bradford O Parsons, MD"
"Amish Patel, MD"
"Devendra A Patel, MD"
"Dhruti Patel, MD"
"Divya Patel, MD"
"Krishna K Patel, MD"
"Puja K Patel, MD"
"Vaishali R Patel, MD"
"Paru S Patrawalla, MD"
"Shanna K Patterson, MD"
"John Paulsen, MD"
"Luca Pauselli, MD"
"Chandni K Pawar, MD"
"Ayla Pelleg, MD"
"Fiorella Perez, MD"
"Lauren M Perry, DO"
"Lauren M Perry, DO"
"Andrea N Persaud, MD"
"Bruce E Petersen, MD"
"John P Phair, MD"
"Robert G Phelps, MD"
"Harrison Pidgeon, MD"
"Sean P Pinney, MD"
"Matthew Pius, MD"
"Michael C Plietz, MD"
"Jeremy D Podolnick, MD"
"Martine R Pollack-Zollman, MD"
"Alexandros D Polydorides, MD"
"Beth Popp, MD"
"Elisa R Port, MD"
"Trevor R Pour, MD"
"Kamron Pourmand, MD"
"Arjun Prabhu, MD"
"Gabriel Prager, MD"
"Jennifer Prevot, MD"
"Alejandro Prigollini, MD"
"Alejandro Prigollini, MD"
"Medicare) Clinical Integrated Network, Emblem Health (HIP "
"Nina R Priven, MD"
"Dushyant P Purohit, MD"
"John D Puskas, MD"
"Danielle Y Qing, MD"
"Libo Qiu, MD"
"Adrienne C Quirolo, LCSW"
"Elaine J Rabin, MD"
"Maurice Rachko, MD"
"Florian Radu, DO"
"Paul S Ragusa, DO"
"Asif M Rahman, MD"
"Peter Raimondi, MD"
"Lakshmi Rajdev, MD"
"Ravishankar Ramaswamy, MD"
"Naomi Ramer, DDS"
"Andres Ramirez Zamudio, MD"
"Vanessa Ramos Pabon, LMSW"
"Isha N Ranadive, MD"
"Ajit Rao, MD"
"Benjamin Rapoport, MD"
"Margaret Rauen, PhD"
"Jennifer Reckrey, MD"
"Bianca Redhead, MD"
"Michael A Redlener, MD"
"Tahreem Rehman, MD"
"Lise M Rehwaldt, MD"
"Malcolm D Reid, MD"
"Patrick C Reid, MD"
"Joshua L Rein, DO"
"Ryan Renacci, MD"
"Madeline Renny, MD"
"Kestrel Reopelle, MD"
"Anna T Resisi, DO"
"Christopher Reverte, MD"
"Alexandra Reynolds, MD"
"Anna J Rhee, MD"
"Timothy Rice, MD"
"Christopher G Richardson, MD"
"Lynne D Richardson, MD"
"Nicholas Richardson, MD"
"Timothy E Richardson, DO"
"Max Rippe, MD"
"Graciano Rivera, MD"
"Veronica Rivera, MD"
"Luis G Rivera Sanchez, MD"
"Robin D Roberts, MD"
"Olga Rodas, MD"
"Rebecca A Rodin, MD"
"Carol E Rodriguez, MD"
"Celine Rodriguez, LCSW"
"Gloria J Rodriguez, MD"
"Vanessa M Rodriguez, MD"
"Zoe I Rodriguez, MD"
"Zoe I Rodriguez, MD"
"Zoe I Rodriguez, MD"
"Rebecca Roediger, MD"
"Leigh Rosen, MD"
"Amy S Rosenberg, MD"
"Judith T Rosenfeld, LCSW"
"Judith T Rosenfeld, LCSW"
"Paul J Rosenfield, MD"
"Benjamin E Rosenstadt, MD"
"Blake D Rosenthal, MD"
"Jacob Rossmer, PsyD"
"Adam C Rothman, MD"
"Joel R Rowe, MD"
"Alan Rozanski, MD"
Clinically Integrated Network Member
"John Rozehnal, MD"
"Elizabeth J Rubano, MD"
"Marc D Rubenstein, MD"
"Glenn A Rudner, MD"
"Steven Rudolph, MD"
"Joseph S Ruggiero, PhD"
"Nisha A Rughwani, MD"
"Phillip Ruiz, MD"
"Zhanna Rutstein-Shulina, DO"
"Jihan Ryu, MD"
"Adam Saad, PsyD"
"Basera K Sabharwal, MD"
"Basera K Sabharwal, MD"
"Andrin Sadikaj, MD"
"Joshua D Safer, MD"
"Louis Saffran, MD"
"Stella A Safo, MD"
"Prantik Saha, MD"
"Ankit Sakhuja, MBBS"
"Jean W Saleh, MD"
"Jean W Saleh, MD"
"Christian Salib, MD"
"James S Salonia, MD"
"Vishnupriya Samarendra, MD"
"Rachel T Samouha, OD"
"Rachel T Samouha, OD"
"Barbara A Sampson, MD"
"Ossama R Samuel, MD"
"Sarah E Samuels, MD"
"Jennifer E Sanders, MD"
"Bruce E Sands, MD"
"Noah B Sands, MD"
"Yeriko Santillan, MD"
"Gabriel Santisteban, LCSW"
"Teresa Santos, LCSW"
"Christine Saracino, DO"
"Umut Sarpel, MD"
"Nidhish Sasi, MD"
"Jodi Sassoon, MD"
Clinically Integrated Network Member
"Ambica Sastry, MD"
"Sammita M Satyanarayan, MD"
"Turandot Saul, MD"
"Aaron D Savedoff, MD"
"Rollin Say, MD"
"Regina Saylor, MD"
"Hani Sbitany, MD"
"Adelle Schaefer, MD"
"Andrea R Schecter, MD"
"Thomas D Schiano, MD"
"Jonathan Schimmel, MD"
"Amy J Schlauch, DO"
"Amy J Schlauch, DO"
"Anthony Schmertz, LCSW"
"Emily Schmidt-Beuchat, MD"
"Emily Schmidt-Beuchat, MD"
"Emily Schmidt-Beuchat, MD"
"Hayley E Scholl, MD"
"Clair Schretlen, MD"
"Jan F Schuetz-Mueller, MD"
"Zachary G Schwam, MD"
"Mirela N Schwartz, MD"
"Myron Schwartz, MD"
"Martin Sedlacek, MD"
"Michelle M Sells, MD"
"Nicholas R Sells, MD"
"Ekaterina Semenova, MD"
"Aruna Seneviratne, MD"
"Matthew Seplowe, DO"
"Monica Sethi, MD"
"John P Sfakianos, MD"
"Rebecca Shafer, MD"
"(212) 523-4000    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Rebecca Shafer, MD"
"Ankit R Shah, MD"
"Anuj Shah, MD"
"Brijen Shah, MD"
"Nirali A Shah, MD"
"Sovrin M Shah, MD"
Clinical Integrated Network
"Tina Shah, MD"
"Ujas H Shah, MD"
"Ahmed Shaikh, MD"
"Gururaj Shan, MD"
"Janet M Shapiro, MD"
"Lauren I Shapiro, MD"
"Lauren I Shapiro, MD"
"Matthew S Shapiro, MD"
"Abdelsalam Sharabi, MD"
"Ajay K Sharma, DO"
"Samin K Sharma, MD"
"Siri Shastry, MD"
"Peter L Shearer, MD"
"Huma U Sheikh, MD"
"Mohammed O Sheikh, MD"
"Sloane Sheldon, PhD"
"Aarti Shenoy, MD"
"Danny Sherwinter, MD"
"Edward Shlasko, MD"
"Hazem M Shoirah, MD"
"Raj K Shrivastava, MD"
"Maria E Shtessel, MD"
"Isabella Sierra, PhD"
"Lester Silver, MD"
"Nanette B Silverberg, MD"
"Vannita Simma-Chiang, MD"
"(212) 523-4000    |    440 West 114th Street, New York, NY 10025    |     3.57 miles"
"Priya Simoes, MD"
"Rayze Simonson, MD"
"Elizabeth K Singer, MD"
"Anjali Singh, MD"
"Anuradha Singh, MD"
"Avinash Singh, MD"
"Prameet Singh, MD"
"Priyanka L Singh, MD"
"Rani D Sittol, MD"
"Andrew H Smith, MD, PhD"
"Barry L Smith, MD"
"Michael S Smith, MD"
"Phillip Smith, MD"
"Steven D Smith, MD"
"Christopher J Smolock, MD"
"Scott M Sokol, PhD"
"Brittany K Solar, MD"
"Brittany K Solar, MD"
"Laili Soleimani, MD"
"Rachel Solnick, MD"
"Samuel E Sondheim, MD"
"Rainier P Soriano, MD"
"Ali Soroush, MD"
"Krishnasamy Soundararajan, MD"
Clinically Integrated Network Member
"Sophia Spadafore, MD"
"Martha A Sparks, PhD"
"Louis Spina, MD"
"Westley J Spiro, MD"
"Jonathan Spitz, MD"
"Reshmi I Srinath, MD"
"Timothy G Stahl, PhD"
"Richard S Stark, MD"
"Christine F Stavropoulos, MD"
"David J Steiger, MD"
"Jeremy Steinberger, MD"
"Randolph M Steinhagen, MD"
"Adam F Steinlauf, MD"
"Ashley Sterchele, MD"
"Nicholas Stevens, MD"
"Rachael M Stevenson, MD"
"Isaac E Stillman, MD"
"Aryeh Stock, MD"
"Bess M Storch, MD"
"Matthew Straight, MD"
"Christopher G Strother, MD"
"Jenny Su, MD"
"Judah J Sueker, MD"
"Hassan Suleiman, MD"
"Rachel Sullivan, MD"
"Timothy F Sullivan, MD"
"Steven Sultan, MD"
"Brian D Sumner, MD"
"Jihong Sun, MD"
"Michael Sun, MD"
"Ramona Sunderwirth-Bailly, MD"
"Ranjit Suri, MD"
"Daniel Suter, MD"
"Desmond Sutton, MD"
"Patricia Sylla, MD"
"Arnold H Szporn, MD"
"John Tackett, MD"
"Rami O Tadros, MD"
"Che- YU J Tai, MD"
"Susan M Talbert, MD"
Clinical Integrated Network
"Maite D Talbott, MD"
"Jordan P Talia, MD"
"Pranai Tandon, MD"
"Gilbert Tang, MD"
"Ryan E Tansek, MD"
"Piyush Taparia, MD"
"Joseph Tarantino, PhD"
"Peter J Taub, MD"
"Shilpa R Taufique, PhD"
"Aida Taye, MD"
"Geoffrey Taylor, MD"
"George A Taylor, MD"
"Kevia L Taylor, MD"
"Kevia L Taylor, MD"
"Shameeke Taylor, MD"
"Amanda Templeman, PhD"
"Ashutosh Tewari, MD"
"Rahul N Thakker, MD"
"Alison Thaler, MD"
"Janvi Thampi, MD"
"Deepti Thomas-Paulose, MD"
"Frederick L Thum, MD"
"Swan N Thung, MD"
"Jess Ting, MD"
"Windsor Ting, MD"
"Daryl Tiong, MD"
"Vanessa Tiongson, MD"
"Amilcar A Tirado, MD"
"Lindsay Tishberg, MD"
"George J Todd, MD"
"Julia R Tokarski, MD"
"Joji E Tokita, MD"
"Thomas Tolbert, MD"
"Paul Tomaszewski, MD"
"Matthew I Tomey, MD"
"Philip J Torina, MD"
"Ann Tran, MD"
"Lindsay Trapp, LCSW"
"Carley R Trentman, MD"
"Brooke A Trenton, MD"
"Brooke A Trenton, MD"
"Christopher J Tricarico, MD"
"Shefali Trivedi, MD"
"Gylynthia Trotman, MD"
"Nenad Trubelja, MD"
"Catherine Tsai, MD"
"Gregory P Tsai, MD"
"Ashley T Tsang, MD"
"Nadejda M Tsankova, MD"
"James W Tsung, MD"
"Mohit K Turagam, MD"
"Andrew A Twardon, PhD"
"Efstathia Tzatha, MD"
"Takeshi Uemura, MD"
"Robin Ulep, MBBS"
"Melissa Umphlett, MD"
"Benjamin N Ungar, MD"
"Jonathan P Ungar, MD"
"Ryan C Ungaro, MD"
"Douglas B Unis, MD"
"Gandhi Vallarapu, MD"
"Tayler A Van Denakker, MD"
"Peter C Vangronigen, MD"
"Lara Vanyo, MD"
"Andrew W Varga, MD"
"Geeta Varghese, MD"
Clinically Integrated Network Member
"Robin Varghese, MD"
"Lawrence Vaynerchuk, MD"
"George Velasco, MD"
"George Velasco, MD"
"Rachel Ventura, MD"
"Brandon Veremis, DDS"
"Jessica M Vernon, MD"
"Michael A Via, MD"
"Meenakshi V Vij, MBBS"
"Augusto Villanueva Rodriguez, MD"
"Marianna Vinokur, DO"
"Heather S Viola, DO"
"Heather S Viola, DO"
"Medicare) Clinical Integrated Network, Emblem Health (HIP "
"Georgios Voloudakis, MD"
"Nico Volz, MD"
"Kaitlyn R Votta, MD"
"Ageliki G Vouyouka, MD"
"John A Vullo, MD"
"Lauren Wagner, MD"
"Jamie M Walker, MD"
"Harry Wanar, MD"
"Chang Wang, MD"
"Christina P Wang, MD"
"Emily H Wang, MD"
"Jing A Wang, MD"
"Richard Wang, MD"
"Stephanie C Wang, MD"
"Xintong Wang, MD"
"Stephen C Ward, MD"
"Michael Waters, MD"
"Raymond V Wedderburn, MD"
"Calvin C Wei, MD"
"(212) 241-9410    |    1111 Amsterdam Avenue, New York, NY 10025    |     3.57 miles"
"Cara Weiner, PsyD"
"Rachel Weisberg, PsyD"
"Rebecca Weiss, MD"
"Naomi Weiss-Goldman, MD"
"Adaya Weissler-Snir, MD"
"Rachel Weller, PsyD"
"Christina R Weltz, MD"
"Chase Westra, MD"
"William H Westra, MD"
"Winston Wey, MD"
"William Whang, MD"
"Pascale M White, MD"
"Melissa Wiener, MD"
"Nils P Wiklund, MD"
"Van Don Williams, MD"
"Olivia Wind, MD"
"Adam C Winters, MD"
"Yong Witkovic, PhD"
"Alan Wong, DO"
"Serre-Yu Wong, MD"
"Tommy Y Wong, MD"
"Christopher D Woodrell, MD"
"Krystina L Woods, MD"
"Steven Wortman, MD"
"Kayli Wrenn, PhD"
"Benjamin Wyler, MD"
"Ambika Yadav, MBBS"
"Yuji Yamada, MD"
"Diana H Yan, MD"
"Kevin L Yan, MD"
"Kevin L Yan, MD"
"Robert T Yanagisawa, MD"
"Julie Yang, MD"
"Alice S Yao, MD"
"Elizabeth Yetter, MD"
"Jeremy Ying, MD"
"James Youssef, MD"
"Ming Yu, MD"
"Joseph Yuen, MD"
"Ismail Zahir, MD"
"Konstantin Zakashansky, MD"
"Julia Zakhaleva, MD"
"Maureen F Zakowski, MD"
"Dana Zalkin, MD"
"Hemrie Zalman, PsyD"
"Debra R Zane, MD"
"Nathan I Zapolsky, MD"
"Satin Zarkar, DO"
"Amanda D Zeidman, MD"
"Nebras Zeizafoun, MD"
"Jennifer Zeng, MD"
"Linda P Zhang, MD"
"Jonathan D Zimmerman, MD"
"Lauren E Zinns, MD"
"Yasmina Zoghbi, MD"
"Petra Zubin Maslov, MD, PhD"
"Javier J Zulueta, MD"
"Anum Aamir, MBBS"
"Ethan Abbott, DO"
"Jessica Ables, MD"
"Gallane D Abraham, MD"
"Rory Abrams, MD"
"Manasi Agrawal, MD"
"Samuel K Agyare, MD"
"Danish A Ahmad, MD"
"Sumayya Ahmad, MD"
Clinical Integrated Network
"Jalal Ahmed, MD, PhD"
"Zaza J Aivazi, MD"
"Mohammed Akhtar, MD"
"Saadia Akhtar, MD"
"Robert Aldoroty, MD"
"Ayesha Ali, MD"
"Haneen Ali, MD"
"Nasser Alkurdi, MD"
"Abigail K Allen, MD"
"Amy S Aloysi, MD"
"Bayan Alsuleiman, MD"
"Yelina Alvarez, MD"
"Shyam Amin, MD"
"Iman Andalib, MD"
"James J Andersen, MD"
"David Anderson, MD"
"Mark C Andreae, MD"
"Kenneth L Angelino, MD"
"Neetha Angelino, MD"
"Swati Antala, MD"
"Donald Apakama, MD"
"Antonios Arvelakis, MD"
"(212) 731-7220    |    25-20 30th Avenue, 4th Floor, Astoria, NY 11102    |     3.64 miles"
"Jesse J Astwood, MD"
"Farah E Atallah-Lajam, MD"
"Haytham Atileh, MD"
"Bella K Avanessian, MD"
"Nita G Avrith, MD"
"Wayne Axman, DPM"
"Felipe A Ayala, MD"
"Hameed Azeb Shahul, MD"
"Hae Young Baang, MD"
"Alina Babar, MD"
"Sachal H Badlani, MD"
"Helen Badu, MD"
"Matthew Y Bai, MD"
"Kayleen Bailey, MD"
"Gargi Bajpayee, MD"
"Melissa Baldwin, MD"
"Theodore Bania, MD"
"Barbara J Barnett, MD"
"John Barrett, MD"
"Christin J Barry, MD"
"Amanda Bates, MD"
"Micaela F Bayard, MD"
"Oren Becher, MD"
"Jennifer Beck-Esmay, MD"
"Adam Belachew, MD"
"Jacob D Bell, MD"
"Laura K Belland, MD"
"Scott J Belsley, MD"
"David Ben-Eli, MD"
"Alan I Benvenisty, MD"
"Michael H Berger, MD"
"Stephanie Bernik, MD"
"Bhavana Bhagya Rao, MD"
"Arjun M Bhansali, MD"
"Anup Bharani, MD"
"Deepak L Bhatt, MD"
"Abhik Bhattacharya, MD"
"Saumya Bhutani, MD"
"Saadiyah Bilal, MD"
"Bernard J Biviano, MD"
"Oscar Blanco-Franco, MD"
"Gabrielle Block, MD"
"Kara Bloomgarden, MD"
"Erik Blutinger, MD"
"Elisa Bocchieri-Bustros, DO"
"William A Bonadio, MD"
"(718) 932-3100    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Irene R Boniece, MD"
"Andressa Borges, MD"
"Morgan S Bowling, DO"
"Alison C Boyce, MD"
"Adam R Brenner, MD"
"Cara Brown, MD"
"Rachel A Brozinsky, MD"
"Anjali Budhathoki, MBBS"
"Cynthia Bui, MD"
"Alexander Bulanov, DO"
"Caroline W Burmon, MD"
"Angie E Buttigieg, MD"
"Phyllis A Caces, MD"
"Matthew A Cagliostro, MD"
"John D Cahill, MD"
"Yvette Calderon, MD"
"Christopher Caravanos, MD"
"Patricia Carey, MD"
"Bruno Caridi, MD"
"Brendan Carr, MD"
"Caitlin E Carr, MD"
"Kecia Carroll, MD"
"Moira Carroll, MD"
"Fernanda Carvalho Poyraz, MD"
"Gabriel Castillo, MD"
"Sarah P Cate, MD"
"David J Chafiian, MD"
"(212) 241-6500    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Haamid Chamdawala, MD"
"Shirley Chan, MD"
"Cheryl Chang, MD"
"Jenny F Chang, MD"
"Michael Chang, MD"
"Alexander Charney, MD"
"Kevin Chason, DO"
"Ahmed Chaudhry, DO"
"Darwin D Chen, MD"
"Joanna Chen, MD, MPH"
"Xisui S Chen, MD"
"David B Chessin, MD"
"Deanna Chieco, MD"
"Edward Chin, MD"
"Makini Chisolm-Straker, MD"
"Eugene W Choi, MD"
"Michael Choi, MD"
"Lauryn Choleva, MD"
"Aparna Chopra, MBBS"
"Rebecca L Choudhury, MD"
"Nadine F Choueiter, MD"
"Lawremce Chow, MD"
"Mary C Christopher, MD"
"Nicholas H Chun, MD"
"Michael S Chung, MD"
"Wendy Chung, MD"
"Mateusz K Ciejka, MD"
"Jennifer Ciuchta, MD"
"Christopher T Clemens, MD"
"Brian A Coakley, MD"
"Louis J Cohen, MD"
"Meir S Cohen, DO"
"Noah Cohen, MD"
"Frank S Coletta, MD"
"Brendan D Connell, MD"
"William A Cook, MD"
"Alexandra L Coria, MD"
"James Cornwall, MD"
"Juan Camilo Correa-Gallego, MD"
"Ethan A Cowan, MD"
"James F Crismale, MD"
"Catrina Cropano, MD"
"Giselle Cruz, MD"
"Uma Damle, MD"
"George D Dangas, MD"
"Neha Dangayach, MD"
"Celeenamma B Daniel, MD"
"Nigar Dargah-Zada, MD"
"Joseph Dario, MD"
"Mohamed Darwish, MD"
"Punam Dass, MD"
"(718) 808-7777    |    25-20 30th Avenue, 4th Floor, Astoria, NY 11102    |     3.64 miles"
"Morgan P Dauer, MD"
"Reade A De Leacy, MD"
"Jonathan DeAssis, MD"
"Anthony DeVivo, DO"
"Martyna DeVries, MD"
"Deborah N Dean, MD"
"Aleksandra Degtyar, MD"
"Joseph Deluca, PhD"
"Pojen Deng, MD"
"Avnish Deobhakta, MD"
"Kim Derespina, MD"
"Nikita Desai, MD"
"Jason A Deutsch, MD"
"Sean A Dhanraj, MD"
"Carl Dickler, MD"
"Celia Divino, MD"
"Zachary Dovey, MBBS"
"Michael Dudkiewicz, MD"
"Naida Dzanic-Cemalovic, MD"
"Jamie Edelstein, MD"
"Eric D Edwards, MD"
"Patrick Eiben, MD"
"Nicole Eiden, MD"
"Erick A Eiting, MD"
"Ahmed M El-Eshmawi, MD"
"Mohamed Elfatihi, MD"
"Junona Elgudin, MD"
"Melto J Eliades, MD"
"Mohammed W Elshorafa, MD"
"Raymonde E Ernest-Jean, MD"
"Ghideon Ezaz, MD"
"Ugo A Ezenkwele, MD"
"Michael J Falk, MD"
"Hassan Farhat, MD"
"(718) 932-3100    |    25-10 30th Avenue, Astoria, NY 11102    |     3.64 miles"
"Samir A Farhat, MD"
"Peter L Faries, MD"
"Samira Farouk, MD"
"Emily Fatakhov, MD"
"Adriana Feder, MD"
"Shara J Feldman, PhD"
"David Fernandez, MD"
"Gregory Fernandez, MD"
"Gustavo G Fernandez Ranvier, MD"
"Anusha R Fernando, MD"
"Maria I Fiel, MD"
"Jason Filopei, MD"
"Rachel Fischer, MD"
"John L Foggle, MD"
"David A Forsh, MD"
"Elissa K Fory, MD"
"Maria E Fraga, RD"
"Anna-Marie Francis, MD"
"Maxim Frenkel, MD"
"Timothy M Friedman, MD"
"Jennifer Y Fung, MD"
"Amany Galal, MD"
"Gregory M Gale, MD"
"Marian L Gambrell, MD"
"Nipa D Gandhi, MD"
"Sandeep Gangadharan, MD"
"Sylvia Garcia, MD"
"Nicholas Gavin, MD"
"Laura P Gelfman, MD"
"Justin M George, MD"
